params,true_negative,true_positive,false_positive,false_negative
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,327,17,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 8}",9,320,17,46
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 9}",7,321,19,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,307,16,59
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 8}",9,311,17,55
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 9}",9,313,17,53
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 10}",9,315,17,51
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': None, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 7}",10,322,16,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 8}",7,318,19,48
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9}",7,319,19,47
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 10}",9,317,17,49
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",8,293,18,73
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 7}",10,322,16,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 8}",7,318,19,48
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9}",7,319,19,47
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 10}",9,317,17,49
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 20}",8,293,18,73
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 7}",10,322,16,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 8}",7,318,19,48
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 9}",7,319,19,47
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 10}",9,317,17,49
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 20}",8,293,18,73
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 7}",10,321,16,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 8}",9,318,17,48
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 9}",7,319,19,47
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 10}",9,317,17,49
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 20}",8,293,18,73
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,301,16,65
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 8}",9,308,17,58
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 9}",9,310,17,56
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 10}",9,312,17,54
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 20}",8,293,18,73
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 10, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,327,17,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 8}",9,320,17,46
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 9}",7,321,19,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,307,16,59
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 8}",9,311,17,55
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 9}",9,313,17,53
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 10}",9,315,17,51
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 20, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 7}",7,327,19,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 8}",7,323,19,43
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 9}",9,322,17,44
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 7}",9,327,17,39
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 8}",9,320,17,46
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 9}",7,321,19,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 10}",9,321,17,45
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 7}",10,307,16,59
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 8}",9,311,17,55
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 9}",9,313,17,53
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 10}",9,315,17,51
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 20}",9,291,17,75
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 50}",10,285,16,81
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 100}",17,235,9,131
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': None, 'max_depth': 30, 'min_samples_split': 30, 'min_samples_leaf': 200}",14,203,12,163
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 7}",9,324,17,42
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 8}",8,319,18,47
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 9}",4,314,22,52
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 10}",4,315,22,51
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",7,295,19,71
"{'criterion': 'gini', 'splitter': 'best', 'random_state': 42, 'max_features': 'sqrt', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 50}",12,289,14,77
